run_id,round,m_selected,m_committed,dropout_rate,global_model_norm,co2_committed_g,co2_dropped_g,co2_total_g,ci_g_per_kwh_used,t_round_start,t_deadline
20260324_100845,2,12,12,0.0,8.857561876800386,0.0010420696541207908,0.0,0.0010420696541207908,66.0,25.0,50.0
20260324_100845,3,24,24,0.0,8.85965473197735,0.0020592838772812,0.0,0.0020592838772812,66.0,50.0,75.0
20260324_100845,4,36,36,0.0,8.86199238108405,0.002974553529833993,0.0,0.002974553529833993,66.0,75.0,100.0
20260324_100845,5,48,48,0.0,8.864319605674154,0.003921164094874484,0.0,0.003921164094874484,66.0,100.0,125.0
20260324_100845,6,50,50,0.0,8.86716984450276,0.003989090800940292,0.0,0.003989090800940292,62.0,125.0,150.0
20260324_100845,7,50,50,0.0,8.869722231215672,0.004036271635666904,0.0,0.004036271635666904,62.0,150.0,175.0
20260324_100845,8,50,50,0.0,8.872957916544767,0.0038975737639788074,0.0,0.0038975737639788074,59.0,175.0,200.0
20260324_100845,9,50,50,0.0,8.875810791611853,0.004064921648239357,0.0,0.004064921648239357,59.0,200.0,225.0
20260324_100845,10,50,50,0.0,8.877965088453141,0.004657088177459987,0.0,0.004657088177459987,65.0,225.0,250.0
20260324_100845,11,50,50,0.0,8.880158789522385,0.005176573225780383,0.0,0.005176573225780383,65.0,250.0,275.0
20260324_100845,12,50,50,0.0,8.882891836894851,0.0055070231420442685,0.0,0.0055070231420442685,64.0,275.0,300.0
20260324_100845,13,50,49,0.02,8.884770489797255,0.005644130169443168,6.357761342271854e-05,0.005707707782865886,64.0,300.0,325.0
20260324_100845,14,50,50,0.0,8.887431825990816,0.005281257236537878,0.0,0.005281257236537878,62.0,325.0,350.0
20260324_100845,15,50,50,0.0,8.888730255960308,0.004585205145028924,0.0,0.004585205145028924,62.0,350.0,375.0
20260324_100845,16,50,50,0.0,8.8909083859768,0.005275398460518708,0.0,0.005275398460518708,63.0,375.0,400.0
20260324_100845,17,50,50,0.0,8.892857863027709,0.005623456171177905,0.0,0.005623456171177905,63.0,400.0,425.0
20260324_100845,18,50,49,0.02,8.895530652124972,0.006029498558689393,6.523767627369766e-05,0.0060947362349630906,66.0,425.0,450.0
20260324_100845,19,50,50,0.0,8.89734973733179,0.005919858016472537,0.0,0.005919858016472537,66.0,450.0,475.0
20260324_100845,20,50,49,0.02,8.898740412369023,0.0060212925405942344,6.809298509466191e-05,0.006089385525688896,69.0,475.0,500.0
20260324_100845,21,50,50,0.0,8.900797719323936,0.005778435021724564,0.0,0.005778435021724564,69.0,500.0,525.0
20260324_100845,22,50,50,0.0,8.901635900395366,0.0060703674302873024,0.0,0.0060703674302873024,69.0,525.0,550.0
20260324_100845,23,50,49,0.02,8.903205358663735,0.005944344839677179,0.0,0.005944344839677179,68.0,550.0,575.0
20260324_100845,24,50,48,0.04,8.903852558093803,0.006801326384119606,7.721599990316564e-05,0.0068785423840227716,77.0,575.0,600.0
20260324_100845,25,50,48,0.04,8.905824459229397,0.006606226854605231,7.680057466043357e-05,0.006683027429265665,77.0,600.0,625.0
20260324_100845,26,50,47,0.06,8.90675165252401,0.00664896041901147,0.00015849964064839256,0.0068074600596598625,79.0,625.0,650.0
20260324_100845,27,50,48,0.04,8.90743496264452,0.00681244973875283,7.95735054831645e-05,0.006892023244235994,79.0,650.0,675.0
20260324_100845,28,50,50,0.0,8.90765032701127,0.007655217073281991,0.0,0.007655217073281991,94.0,675.0,700.0
20260324_100845,29,50,49,0.02,8.908031033943681,0.007736749580960678,0.0,0.007736749580960678,94.0,700.0,725.0
20260324_100845,30,50,50,0.0,8.909103210301902,0.00793304922691139,0.0,0.00793304922691139,94.0,725.0,750.0
20260324_100845,31,50,50,0.0,8.910015629478105,0.007846295256479764,0.0,0.007846295256479764,93.0,750.0,775.0
20260324_100845,32,50,48,0.04,8.909545860011413,0.008154206492888857,0.00018511187214637805,0.008339318365035235,93.0,775.0,800.0
20260324_100845,33,50,49,0.02,8.909730857213415,0.011143915555061275,0.0001221301918321164,0.011266045746893391,124.0,800.0,825.0
20260324_100845,34,50,50,0.0,8.910003140281331,0.011335826232865782,0.0,0.011335826232865782,124.0,825.0,850.0
20260324_100845,35,50,47,0.06,8.911546530348874,0.010925705687139445,0.0002486235130903146,0.01117432920022976,124.0,850.0,875.0
20260324_100845,36,50,49,0.02,8.91271484601183,0.01100416872000081,0.0,0.01100416872000081,124.0,875.0,900.0
20260324_100845,37,50,49,0.02,8.914112866009068,0.010579915698685964,0.00012312476908673325,0.010703040467772698,124.0,900.0,925.0
20260324_100845,38,50,50,0.0,8.915083650913573,0.015045572726747138,0.0,0.015045572726747138,160.0,925.0,950.0
20260324_100845,39,50,49,0.02,8.915401289553214,0.014489919346673565,0.00015750528121830006,0.014647424627891866,160.0,950.0,975.0
20260324_100845,40,50,49,0.02,8.917186007837888,0.014860939355603493,0.00016295619336603915,0.015023895548969532,161.0,975.0,1000.0
20260324_100845,41,50,47,0.06,8.917958922849309,0.014263837640069709,0.00016835810567023018,0.014432195745739939,161.0,1000.0,1025.0
20260324_100845,42,50,50,0.0,8.917645515453623,0.014641188648401408,0.0,0.014641188648401408,161.0,1025.0,1050.0
20260324_100845,43,50,48,0.04,8.919600684423859,0.01516795964910754,0.0001656505517274941,0.015333610200835034,169.0,1050.0,1075.0
20260324_100845,44,50,50,0.0,8.921775265437855,0.015316627153440336,0.0,0.015316627153440336,169.0,1075.0,1100.0
20260324_100845,45,50,50,0.0,8.923750305762347,0.014066878917359912,0.0,0.014066878917359912,169.0,1100.0,1125.0
20260324_100845,46,50,47,0.06,8.925488443184229,0.01429351130267332,0.00016454724298297542,0.014458058545656296,169.0,1125.0,1150.0
20260324_100845,47,50,47,0.06,8.92678738269355,0.013534825630541104,0.0003072084495608546,0.01384203408010196,155.0,1150.0,1175.0
20260324_100845,48,50,49,0.02,8.928005357432054,0.013503874716178964,0.0,0.013503874716178964,155.0,1175.0,1200.0
20260324_100845,49,50,50,0.0,8.929828331658893,0.01372637552344391,0.0,0.01372637552344391,155.0,1200.0,1225.0
20260324_100845,50,50,49,0.02,8.930816997980571,0.012619925357553642,0.0,0.012619925357553642,148.0,1225.0,1250.0
